ticker,week,weekly_close,weekly_return,next_week_return,lag1_return,news_count,fda_mention_count,regulatory_event_flag,week_start
JNJ,2026-03-02/2026-03-08,240.3999938964844,-0.032322984406220834,0.004658945109869084,0.029942138018163034,120.0,0.0,0.0,2026-03-02
LLY,2025-12-01/2025-12-07,1008.6265869140624,-0.06058743208228701,0.01702452318978298,0.01488161962532697,0.0,0.0,0.0,2025-12-01
LLY,2025-12-08/2025-12-14,1025.7979736328125,0.01702452318978298,0.04275372985755532,-0.06058743208228701,0.0,0.0,0.0,2025-12-08
LLY,2025-12-15/2025-12-21,1069.6546630859375,0.04275372985755532,0.005889340517341246,0.01702452318978298,0.0,0.0,0.0,2025-12-15
LLY,2025-12-22/2025-12-28,1075.9542236328125,0.005889340517341246,0.0024216558317091685,0.04275372985755532,0.0,0.0,0.0,2025-12-22
LLY,2025-12-29/2026-01-04,1078.559814453125,0.0024216558317091685,-0.015550227591634824,0.005889340517341246,0.0,0.0,0.0,2025-12-29
LLY,2026-01-05/2026-01-11,1061.7879638671875,-0.015550227591634824,-0.023656478428156213,0.0024216558317091685,0.0,0.0,0.0,2026-01-05
LLY,2026-01-12/2026-01-18,1036.6697998046875,-0.023656478428156213,0.024932648595526352,-0.015550227591634824,0.0,0.0,0.0,2026-01-12
LLY,2026-01-19/2026-01-25,1062.5167236328125,0.024932648595526352,-0.025500632630207964,-0.023656478428156213,0.0,0.0,0.0,2026-01-19
LLY,2026-01-26/2026-02-01,1035.421875,-0.025500632630207964,0.02027675445546051,0.024932648595526352,0.0,0.0,0.0,2026-01-26
LLY,2026-02-02/2026-02-08,1056.4168701171875,0.02027675445546051,-0.015540143840533704,-0.025500632630207964,0.0,0.0,0.0,2026-02-02
LLY,2026-02-09/2026-02-15,1040.0,-0.015540143840533704,-0.029307673527644185,0.02027675445546051,0.0,0.0,0.0,2026-02-09
LLY,2026-02-16/2026-02-22,1009.52001953125,-0.029307673527644185,0.04206946854094595,-0.015540143840533704,0.0,0.0,0.0,2026-02-16
LLY,2026-02-23/2026-03-01,1051.989990234375,0.04206946854094595,-0.058612699471402685,-0.029307673527644185,0.0,0.0,0.0,2026-02-23
LLY,2026-03-02/2026-03-08,990.3300170898438,-0.058612699471402685,-0.005301263123809519,0.04206946854094595,75.0,0.0,0.0,2026-03-02
MDT,2025-12-01/2025-12-07,100.62014770507812,-0.03769109208129384,-0.014700021624926674,0.04081034868368816,0.0,0.0,0.0,2025-12-01
